Executing C:\Documents and Settings\Administrator\My Documents\ZEMAX\MACROS\sedm_simulate_ray.zpl.
104.0000 -0.0631 -0.1558 0.3700 17.1189 19.7165
104.0000 -0.0631 -0.1558 0.6450 16.9869 20.8276
104.0000 -0.0631 -0.1558 0.9200 16.9347 21.5727
105.0000 -0.0590 -0.1558 0.3700 15.9342 19.4653
105.0000 -0.0590 -0.1558 0.6450 16.3581 21.1006
105.0000 -0.0590 -0.1558 0.9200 16.3318 21.8412
106.0000 -0.0549 -0.1558 0.3700 15.9031 20.2780
106.0000 -0.0549 -0.1558 0.6450 15.7116 21.3123
106.0000 -0.0549 -0.1558 0.9200 15.6604 22.0510
107.0000 -0.0509 -0.1558 0.3700 14.2943 19.6582
107.0000 -0.0509 -0.1558 0.6450 15.0452 21.5142
107.0000 -0.0509 -0.1558 0.9200 14.9326 22.1833
108.0000 -0.0468 -0.1558 0.3700 14.3157 20.4842
108.0000 -0.0468 -0.1558 0.6450 14.3345 21.6515
108.0000 -0.0468 -0.1558 0.9200 14.2329 22.3208
109.0000 -0.0427 -0.1558 0.3700 13.9985 21.0454
109.0000 -0.0427 -0.1558 0.6450 13.6468 21.7919
109.0000 -0.0427 -0.1558 0.9200 13.5687 22.4793
110.0000 -0.0387 -0.1558 0.3700 13.4088 21.2935
110.0000 -0.0387 -0.1558 0.6450 12.9907 21.9518
110.0000 -0.0387 -0.1558 0.9200 12.9312 22.6544
111.0000 -0.0346 -0.1558 0.3700 12.3187 20.8458
111.0000 -0.0346 -0.1558 0.6450 12.3589 22.1273
111.0000 -0.0346 -0.1558 0.9200 12.3132 22.8416
112.0000 -0.0305 -0.1558 0.3700 12.1428 21.6905
112.0000 -0.0305 -0.1558 0.6450 11.7451 22.3145
112.0000 -0.0305 -0.1558 0.9200 11.7098 23.0374
113.0000 -0.0265 -0.1558 0.3700 11.4990 21.8777
113.0000 -0.0265 -0.1558 0.6450 11.1448 22.5103
113.0000 -0.0265 -0.1558 0.9200 11.1172 23.2394
114.0000 -0.0224 -0.1558 0.3700 10.8812 22.0784
114.0000 -0.0224 -0.1558 0.6450 10.5547 22.7122
114.0000 -0.0224 -0.1558 0.9200 10.5328 23.4457
115.0000 -0.0183 -0.1558 0.3700 10.2607 22.2628
115.0000 -0.0183 -0.1558 0.6450 9.9724 22.9187
115.0000 -0.0183 -0.1558 0.9200 9.9548 23.6550
116.0000 -0.0142 -0.1558 0.3700 9.6514 22.4549
116.0000 -0.0142 -0.1558 0.6450 9.3962 23.1285
116.0000 -0.0142 -0.1558 0.9200 9.3817 23.8663
117.0000 -0.0102 -0.1558 0.3700 9.0529 22.6568
117.0000 -0.0102 -0.1558 0.6450 8.8246 23.3409
117.0000 -0.0102 -0.1558 0.9200 8.8124 24.0791
118.0000 -0.0061 -0.1558 0.3700 8.4633 22.8683
118.0000 -0.0061 -0.1558 0.6450 8.2568 23.5553
118.0000 -0.0061 -0.1558 0.9200 8.2462 24.2930
119.0000 -0.0020 -0.1558 0.3700 7.8810 23.0890
119.0000 -0.0020 -0.1558 0.6450 7.6919 23.7713
119.0000 -0.0020 -0.1558 0.9200 7.6825 24.5077
120.0000 0.0020 -0.1558 0.3700 7.3045 23.3189
120.0000 0.0020 -0.1558 0.6450 7.1294 23.9891
120.0000 0.0020 -0.1558 0.9200 7.1206 24.7231
121.0000 0.0061 -0.1558 0.3700 6.7326 23.5585
121.0000 0.0061 -0.1558 0.6450 6.5687 24.2088
121.0000 0.0061 -0.1558 0.9200 6.5604 24.9396
122.0000 0.0102 -0.1558 0.3700 6.1643 23.8088
122.0000 0.0102 -0.1558 0.6450 6.0095 24.4307
122.0000 0.0102 -0.1558 0.9200 6.0013 25.1574
123.0000 0.0142 -0.1558 0.3700 5.5987 24.0714
123.0000 0.0142 -0.1558 0.6450 5.4514 24.6557
123.0000 0.0142 -0.1558 0.9200 5.4432 25.3771
124.0000 0.0183 -0.1558 0.3700 5.0347 24.3478
124.0000 0.0183 -0.1558 0.6450 4.8941 24.8847
124.0000 0.0183 -0.1558 0.9200 4.8856 25.5994
125.0000 0.0224 -0.1558 0.3700 4.4709 24.6381
125.0000 0.0224 -0.1558 0.6450 4.3372 25.1192
125.0000 0.0224 -0.1558 0.9200 4.3285 25.8256
126.0000 0.0265 -0.1558 0.3700 3.9023 24.9239
126.0000 0.0265 -0.1558 0.6450 3.7804 25.3612
126.0000 0.0265 -0.1558 0.9200 3.7713 26.0571
127.0000 0.0305 -0.1558 0.3700 3.2414 24.6458
127.0000 0.0305 -0.1558 0.6450 3.2231 25.6134
127.0000 0.0305 -0.1558 0.9200 3.2137 26.2963
128.0000 0.0346 -0.1558 0.3700 2.7044 25.2519
128.0000 0.0346 -0.1558 0.6450 2.6647 25.8796
128.0000 0.0346 -0.1558 0.9200 2.6552 26.5459
129.0000 0.0387 -0.1558 0.3700 2.1211 25.3425
129.0000 0.0387 -0.1558 0.6450 2.1043 26.1651
129.0000 0.0387 -0.1558 0.9200 2.0951 26.8103
130.0000 0.0427 -0.1558 0.3700 1.6114 26.0597
130.0000 0.0427 -0.1558 0.6450 1.5407 26.4769
130.0000 0.0427 -0.1558 0.9200 1.5323 27.0950
131.0000 0.0468 -0.1558 0.3700 1.0261 26.1186
131.0000 0.0468 -0.1558 0.6450 0.9717 26.8241
131.0000 0.0468 -0.1558 0.9200 0.9652 27.4081
132.0000 0.0509 -0.1558 0.3700 0.4399 26.1574
132.0000 0.0509 -0.1558 0.6450 0.3940 27.2026
132.0000 0.0509 -0.1558 0.9200 0.3915 27.7599
133.0000 0.0549 -0.1558 0.3700 -0.1959 26.8750
